### Countries start here
YEAR: 1931
.: {Armor1:1}
.: {Armor2:1}
.: {Destroyers1:1}
.: {Destroyers2:1}
MIDFAS: {0/0, 55/85, 10/10, 0/10, 25/1, 10/10}
CREATE: (Country) "BRZ"
DEFINE: {FullName:The Democratic Republic of Brazil}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Federation}
.: {Legitimacy:Elective}
.: {Inertia:18.00}
.: {MP:85}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Partisan}
.: {NavalPower:Average}
.: {AirPower:Average}
.: {Infantry1:13}
.: {Infantry2:34}
.: {Infantry3:20}
.: {Armor1:12}
.: {Armor2:11}
.: {Armor3:9}
.: {Destroyers1:12}
.: {Destroyers2:22}
.: {Destroyers3:7}
.: {Cruisers1:5}
.: {Cruisers2:11}
.: {Cruisers3:4}
.: {Battleships1:3}
.: {Battleships2:7}
.: {Fighters1:10}
.: {Fighters2:6}
.: {Bombers1:5}
.: {Bombers2:2}
MIDFAS: {20/1, 25/45, 15/65, 5/1, 5/55, 30/85}
CREATE: (Country) "BRA"
DEFINE: {FullName:The Empire of Brazil}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:52.50}
.: {MP:75}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Good}
.: {Artillery:Excellent}
.: {Tactics:Police}
.: {NavalPower:Average}
.: {AirPower:Weak}
.: {Infantry1:15}
.: {Infantry2:30}
.: {Infantry3:15}
.: {Armor1:5}
.: {Armor2:4}
.: {Armor3:2}
.: {Destroyers1:6}
.: {Destroyers2:8}
.: {Destroyers3:2}
.: {Cruisers1:5}
.: {Cruisers2:3}
.: {Cruisers3:1}
.: {Battleships1:1}
.: {Battleships2:2}
.: {Fighters1:1}
MIDFAS: {25/75, 25/65, 15/45, 5/10, 5/1, 25/1}
CREATE: (Country) "CEN"
DEFINE: {FullName:The Democratic Republic of Central America}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Federation}
.: {Legitimacy:Elective}
.: {Inertia:16.00}
.: {MP:35}
.: {Mobilized:0.6}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Defensive}
.: {NavalPower:Average}
.: {AirPower:Average}
.: {Infantry1:4}
.: {Infantry2:11}
.: {Infantry3:6}
MIDFAS: {0/0, 20/50, 30/75, 10/1, 5/25, 35/90}
CREATE: (Country) "CHL"
DEFINE: {FullName:The Republic of Chile}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Confederation}
.: {Legitimacy:Elective}
.: {Inertia:25.00}
.: {MP:44}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Good}
.: {Artillery:Good}
.: {Tactics:Defensive}
.: {NavalPower:Average}
.: {AirPower:Average}
.: {Infantry1:4}
.: {Infantry2:11}
.: {Infantry3:6}
MIDFAS: {5/65, 25/50, 40/80, 10/1, 5/1, 15/10}
CREATE: (Country) "ARG"
DEFINE: {FullName:The Republic of Argentina}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Federation}
.: {Legitimacy:Elective}
.: {Inertia:29.00}
.: {MP:64}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Good}
.: {Tactics:Mixed}
.: {NavalPower:Average}
.: {AirPower:Average}
.: {Infantry1:6}
.: {Infantry2:16}
.: {Infantry3:9}
.: {Armor1:3}
.: {Armor2:3}
.: {Armor3:2}
.: {Destroyers1:3}
.: {Destroyers2:6}
.: {Destroyers3:2}
.: {Cruisers1:1}
.: {Cruisers2:3}
.: {Cruisers3:1}
.: {Battleships2:1}
.: {Fighters1:2}
.: {Fighters2:1}
.: {Bombers1:1}
MIDFAS: {0/0, 25/55, 45/85, 10/1, 5/1, 15/10}
CREATE: (Country) "BOL"
DEFINE: {FullName:The Great Bolivian Empire}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:27.00}
.: {MP:55}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Excellent}
.: {Artillery:Average}
.: {Tactics:Grande Bolivaro}
.: {NavalPower:Weak}
.: {AirPower:Average}
.: {Infantry1:5}
.: {Infantry2:14}
.: {Infantry3:8}
.: {Armor1:2}
.: {Armor2:1}
.: {Armor3:1}
.: {Destroyers1:1}
.: {Destroyers2:2}
.: {Fighters1:1}
.: {Fighters2:1}
MIDFAS: {15/95, 45/85, 20/15, 0/0, 10/1, 10/1}
CREATE: (Country) "PAN"
DEFINE: {FullName:The Dominion of Panama}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Unitary}
.: {Legitimacy:Appointed}
.: {Inertia:61.00}
.: {MP:1}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
MIDFAS: {0/0, 55/85, 10/10, 0/10, 25/1, 10/10}
CREATE: (Country) "VER"
DEFINE: {FullName:The Emergency State of Veracruz}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Unitary}
.: {Legitimacy:Appointed}
.: {Inertia:66.00}
.: {MP:12}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Poor}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
.: {Infantry1:2}
.: {Infantry2:4}
.: {Infantry3:2}
MIDFAS: {5/35, 35/85, 30/25, 10/1, 10/1, 10/1}
CREATE: (Country) "SON"
DEFINE: {FullName:The State of Sonora}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Hegemony}
.: {Legitimacy:Appointed}
.: {Inertia:47.00}
.: {MP:19}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Poor}
.: {Tactics:Mixed}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
.: {Infantry1:3}
.: {Infantry2:7}
.: {Infantry3:3}
MIDFAS: {10/45, 30/90, 30/55, 5/5, 15/1, 10/15}
CREATE: (Country) "RAD"
DEFINE: {FullName:The Raiders of Zacatecas}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Anarchy}
.: {Legitimacy:Appointed}
.: {Inertia:0.00}
.: {MP:8}
.: {Mobilized:1.0}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Poor}
.: {Tactics:Partisan}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
.: {Infantry1:5}
.: {Infantry2:2}
.: {Infantry3:2}
.: {Armor1:2}
MIDFAS: {10/20, 15/20, 30/20, 5/1, 30/78, 10/40}
CREATE: (Country) "RIO"
DEFINE: {FullName:The State of the Rio Grande}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Unitary}
.: {Legitimacy:Appointed}
.: {Inertia:42.00}
.: {MP:15}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
.: {Infantry1:2}
.: {Infantry2:5}
.: {Infantry3:2}
MIDFAS: {10/30, 30/85, 30/35, 10/10, 10/1, 10/1}
CREATE: (Country) "MEX"
DEFINE: {FullName:The Mexican Republic}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Federation}
.: {Legitimacy:Elective}
.: {Inertia:56.00}
.: {MP:33}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Poor}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Police}
.: {NavalPower:Weak}
.: {AirPower:Weak}
.: {Infantry1:6}
.: {Infantry2:13}
.: {Infantry3:6}
.: {Armor1:3}
.: {Armor2:2}
.: {Armor3:1}
.: {Destroyers1:2}
.: {Destroyers2:2}
.: {Cruisers1:2}
.: {Cruisers2:1}
MIDFAS: {10/45, 15/65, 45/85, 5/1, 10/5, 15/5}
CREATE: (Country) "MIM"
DEFINE: {FullName:The Empire of Mexico}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Appointed}
.: {Inertia:38.50}
.: {MP:10}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Good}
.: {Artillery:Average}
.: {Tactics:Offensive}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
.: {Infantry1:2}
.: {Infantry2:4}
.: {Infantry3:2}
.: {Armor1:1}
MIDFAS: {20/85, 35/80, 30/25, 5/1, 5/1, 5/1}
CREATE: (Country) "MAY"
DEFINE: {FullName:The Mayan Kingdom}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Hegemony}
.: {Legitimacy:Appointed}
.: {Inertia:7.00}
.: {MP:5}
.: {Mobilized:0.9}
.: {Strain:0}
.: {Leadership:Ungodly}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Quetzalcouatl}
.: {NavalPower:Nonexistent}
.: {AirPower:Strong}
.: {Infantry2:1}
.: {Infantry3:1}
MIDFAS: {35/85, 25/55, 25/35, 3/1, 7/2, 5/1}
CREATE: (Country) "OAX"
DEFINE: {FullName:The Oaxaca Commune}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Federation}
.: {Legitimacy:Elective}
.: {Inertia:25.00}
.: {MP:14}
.: {Mobilized:0.8}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
.: {Infantry1:10}
.: {Infantry2:7}
.: {Infantry3:3}
MIDFAS: {10/45, 15/35, 25/75, 5/1, 5/55, 40/90}
CREATE: (Country) "HAI"
DEFINE: {FullName:The Freeman Republic of Haiti}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Unitary}
.: {Legitimacy:Elective}
.: {Inertia:51.00}
.: {MP:12}
.: {Mobilized:0.0}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Weak}
.: {AirPower:Weak}
.: {Infantry1:1}
.: {Infantry2:3}
.: {Infantry3:1}
MIDFAS: {0/0, 10/25, 55/95, 5/10, 10/25, 20/35}
CREATE: (Country) "OMA"
DEFINE: {FullName:The Sultanate of Oman}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:59.00}
.: {MP:1}
.: {Mobilized:0.0}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Weak}
.: {AirPower:Nonexistent}
MIDFAS: {45/90, 35/85, 10/25, 0/0, 5/1, 5/5}
CREATE: (Country) "YEM"
DEFINE: {FullName:The Sultanate of Yemen}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:59.00}
.: {MP:8}
.: {Mobilized:0.0}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Weak}
.: {AirPower:Nonexistent}
.: {Infantry1:1}
.: {Infantry2:2}
.: {Infantry3:1}
MIDFAS: {45/90, 35/85, 10/25, 0/0, 5/1, 5/5}
CREATE: (Country) "ABU"
DEFINE: {FullName:The Sultanate of Abu Dhabi (why is this nation in the game}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:59.00}
.: {MP:0}
.: {Mobilized:0.0}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mixed}
.: {NavalPower:Nonexistent}
.: {AirPower:Nonexistent}
MIDFAS: {45/90, 35/85, 10/25, 0/0, 5/1, 5/5}
CREATE: (Country) "SIA"
DEFINE: {FullName:The Holy Kingdom of Thailand}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:54.00}
.: {MP:16}
.: {Mobilized:0.0}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Poor}
.: {Tactics:Offensive}
.: {NavalPower:Weak}
.: {AirPower:Nonexistent}
.: {Infantry1:2}
.: {Infantry2:4}
.: {Infantry3:2}
MIDFAS: {15/25, 20/55, 35/85, 5/1, 10/1, 15/45}
### Regions start here
CREATE: (Region) "Austria"
DEFINE: {Population:6733267}
.: {Development:34.4}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:AUS}
CREATE: (Region) "Belgium"
DEFINE: {Population:8267384}
.: {Development:24.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BEL}
CREATE: (Region) "Denmark"
DEFINE: {Population:3630703}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:DMK}
CREATE: (Region) "Finland"
DEFINE: {Population:3554237}
.: {Development:19.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:RUS}
CREATE: (Region) "France"
DEFINE: {Population:42597364}
.: {Development:36.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:FRA}
CREATE: (Region) "Ruhr"
DEFINE: {Population:39294678}
.: {Development:38.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:PRR}
CREATE: (Region) "Prussia"
DEFINE: {Population:25538198}
.: {Development:38.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:GFA}
CREATE: (Region) "Bayern"
DEFINE: {Population:10457824}
.: {Development:38.4}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BWR}
CREATE: (Region) "Lorraine"
DEFINE: {Population:1910265}
.: {Development:30.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ALS}
CREATE: (Region) "Italy"
DEFINE: {Population:41829623}
.: {Development:36.4}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ITA}
CREATE: (Region) "Netherlands"
DEFINE: {Population:8085126}
.: {Development:36.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NET}
CREATE: (Region) "Norway"
DEFINE: {Population:2877265}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NOR}
CREATE: (Region) "Sweden"
DEFINE: {Population:6218189}
.: {Development:22.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SWE}
CREATE: (Region) "Switzerland"
DEFINE: {Population:4170120}
.: {Development:32.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SWI}
CREATE: (Region) "Great Britain"
DEFINE: {Population:47047652}
.: {Development:40.4}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Ireland"
DEFINE: {Population:3002408}
.: {Development:22.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:ENG}
CREATE: (Region) "Greece"
DEFINE: {Population:6475438}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:GRE}
CREATE: (Region) "Portugal"
DEFINE: {Population:6961823}
.: {Development:22.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:POR}
CREATE: (Region) "Spain"
DEFINE: {Population:23781985}
.: {Development:24.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SPA}
CREATE: (Region) "Australia"
DEFINE: {Population:6594139}
.: {Development:16.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:OCE}
CREATE: (Region) "New Zealand"
DEFINE: {Population:1521881}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:OCE}
CREATE: (Region) "Canada"
DEFINE: {Population:10764505}
.: {Development:18.2}
.: {Acceptance:0.10}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "United States"
DEFINE: {Population:126928386}
.: {Development:19.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "Albania"
DEFINE: {Population:1007003}
.: {Development:16.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ITA}
CREATE: (Region) "Bulgaria"
DEFINE: {Population:6027000}
.: {Development:16.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Bulgaria proper"
DEFINE: {Population:5622880}
.: {Development:16.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BUL}
CREATE: (Region) "Edirne"
DEFINE: {Population:535128}
.: {Development:20.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Czechoslovakia"
DEFINE: {Population:14066928}
.: {Development:38.4}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:AUS}
CREATE: (Region) "Hungary"
DEFINE: {Population:8846195}
.: {Development:28.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:HUN}
CREATE: (Region) "Poland"
DEFINE: {Population:29064575}
.: {Development:20.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:RUS}
CREATE: (Region) "Romania"
DEFINE: {Population:14456938}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ROM}
CREATE: (Region) "Serbia"
DEFINE: {Population:10435044}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SER}
CREATE: (Region) "Croatia"
DEFINE: {Population:4293836}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SER}
CREATE: (Region) "RUSSIA"
DEFINE: {Population:174212000}
.: {Development:8.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Western Russia"
DEFINE: {Population:107716591}
.: {Development:14.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:RUS}
CREATE: (Region) "Siberia"
DEFINE: {Population:71811060}
.: {Development:8.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:RUS}
CREATE: (Region) "Azerbaijan"
DEFINE: {Population:2172212}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Argentina"
DEFINE: {Population:12157839}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ARG}
CREATE: (Region) "Northern Brazil"
DEFINE: {Population:13676122}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BRA}
CREATE: (Region) "Southern Brazil"
DEFINE: {Population:20423314}
.: {Development:22.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BRZ}
CREATE: (Region) "Chile"
DEFINE: {Population:4358290}
.: {Development:18.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:CHL}
CREATE: (Region) "Colombia"
DEFINE: {Population:8043761}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:COL}
CREATE: (Region) "Mexico"
DEFINE: {Population:17175000}
.: {Development:20.0}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:NAN}
CREATE: (Region) "Sonora"
DEFINE: {Population:1460529}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SON}
CREATE: (Region) "Rio Grande"
DEFINE: {Population:1573313}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:RIO}
CREATE: (Region) "Veracruz"
DEFINE: {Population:1129778}
.: {Development:26.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:VER}
CREATE: (Region) "Durango"
DEFINE: {Population:457240}
.: {Development:18.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:RAD}
CREATE: (Region) "Sinaloa"
DEFINE: {Population:1667053}
.: {Development:24.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:MIM}
CREATE: (Region) "Oaxaca"
DEFINE: {Population:2111875}
.: {Development:24.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:OAX}
CREATE: (Region) "Yucatan"
DEFINE: {Population:603221}
.: {Development:22.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:MAY}
CREATE: (Region) "Central Mexico"
DEFINE: {Population:8539287}
.: {Development:26.3}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:MEX}
CREATE: (Region) "Peru"
DEFINE: {Population:5590352}
.: {Development:18.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:BOL}
CREATE: (Region) "Uruguay"
DEFINE: {Population:1737028}
.: {Development:18.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:BRZ}
CREATE: (Region) "Venezuela"
DEFINE: {Population:3354108}
.: {Development:20.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:COL}
CREATE: (Region) "Bolivia"
DEFINE: {Population:2445268}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BOL}
CREATE: (Region) "Costa Rica"
DEFINE: {Population:510470}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:CEN}
CREATE: (Region) "Cuba"
DEFINE: {Population:3938158}
.: {Development:20.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "Dominican"
DEFINE: {Population:1274053}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SPA}
CREATE: (Region) "Ecuador"
DEFINE: {Population:1983146}
.: {Development:20.2}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:BOL}
CREATE: (Region) "El Salvador"
DEFINE: {Population:1470154}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:CEN}
CREATE: (Region) "Guatemala"
DEFINE: {Population:1808085}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:CEN}
CREATE: (Region) "Haiti"
DEFINE: {Population:2486173}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:HAI}
CREATE: (Region) "Honduras"
DEFINE: {Population:969893}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:CEN}
CREATE: (Region) "Jamaica"
DEFINE: {Population:1035601}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "Nicaragua"
DEFINE: {Population:694239}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:CEN}
CREATE: (Region) "Panama"
DEFINE: {Population:523444}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:PAN}
CREATE: (Region) "Paraguay"
DEFINE: {Population:897720}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:BOL}
CREATE: (Region) "Puerto Rico"
DEFINE: {Population:1592916}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "Trinidad and Tobago"
DEFINE: {Population:410821}
.: {Development:20.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SPA}
CREATE: (Region) "Turkey"
DEFINE: {Population:15158242}
.: {Development:24.2}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Iran"
DEFINE: {Population:12538743}
.: {Development:13.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:PER}
CREATE: (Region) "Iraq"
DEFINE: {Population:3887393}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Israel"
DEFINE: {Population:968272}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Jordan"
DEFINE: {Population:422586}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Kuwait"
DEFINE: {Population:109005}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Lebanon"
DEFINE: {Population:1027026}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Oman"
DEFINE: {Population:374323}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:OMA}
CREATE: (Region) "Qatar"
DEFINE: {Population:19230}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ABU}
CREATE: (Region) "Saudi Arabia"
DEFINE: {Population:2906172}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "Syria"
DEFINE: {Population:2631501}
.: {Development:12.1}
.: {Acceptance:0.75}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "United Arab Emirates"
DEFINE: {Population:54794}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:ABU}
CREATE: (Region) "Yemen"
DEFINE: {Population:3659894}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:YEM}
CREATE: (Region) "South Africa"
DEFINE: {Population:10266443}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:SAF}
CREATE: (Region) "West Bank and Gaza"
DEFINE: {Population:765386}
.: {Development:12.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:TUR}
CREATE: (Region) "India"
DEFINE: {Population:342485449}
.: {Development:4.0}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:IND}
CREATE: (Region) "Indonesia"
DEFINE: {Population:61768195}
.: {Development:8.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:OCE}
CREATE: (Region) "Japan"
DEFINE: {Population:65895649}
.: {Development:21.2}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "Philippines"
DEFINE: {Population:13541847}
.: {Development:8.1}
.: {Acceptance:0.25}
.: {Occupied:0.0}
.: {Owner:USA}
CREATE: (Region) "Korea"
DEFINE: {Population:21621017}
.: {Development:10.1}
.: {Acceptance:1.00}
.: {Occupied:0.0}
.: {Owner:KOR}
